"Authors, Primary",Title Primary,organism,where,Pub Year,Keywords,Abstract,Link
"Alcalay, Madison","Distribution, thermal tolerance, and feeding behavior of Diadema savignyi and its impact on abundance of reef algae on Moorea, French Polynesia",,,2019,,,"Distribution, thermal tolerance, and feeding behavior of Diadema savignyi and its impact on abundance of reef algae on Moorea, French Polynesia"
"Bellegarda, Celine","Effects of thermal variability on the photosynthesis and distribution of marine macro- algae in Moorea, French Polynesia",,,2019,,,"Effects of thermal variability on the photosynthesis and distribution of marine macro- algae in Moorea, French Polynesia"
"Cervantes-Hernandez, Daisy","Tropical stream habitat structure and freshwater community composition in Opunohu River, Moorea, French Polynesia",,,2019,,,"Tropical stream habitat structure and freshwater community composition in Opunohu River, Moorea, French Polynesia"
"Glasmann, Chrissy",Lunar cycle and abundance of Copula sivickisi; size gradient in relation to nocturnal activity,,,2019,,,Lunar cycle and abundance of Copula sivickisi; size gradient in relation to nocturnal activity
"Golde, Chloe",The effect of rising ocean temperatures on Tridacna maxima and their ability to metabolically recover post warming events,,,2019,,,The effect of rising ocean temperatures on Tridacna maxima and their ability to metabolically recover post warming events
"Grove, Kyra","Effects of spider size on web design, relocation and prey capture in Tetragnatha nitens ",,,2019,,,"Effects of spider size on web design, relocation and prey capture in Tetragnatha nitens "
"Hallsten, Molly",Size-based dominance hierarchy in one of two sympatric cryptic pacific skinks (Emoia impar and Emoia cyanura),,,2019,,,Size-based dominance hierarchy in one of two sympatric cryptic pacific skinks (Emoia impar and Emoia cyanura)
"Kampman, Lucas","Cyanobacterial community distribution in the lagoon of Moorea, French Polynesia",,,2019,,,"Cyanobacterial community distribution in the lagoon of Moorea, French Polynesia"
"Leveque Eichhorn, Lily","Sponge physioecology on Moorea, French Polynesia: local distribution and filtration efficiency of Lamellodysidea under varying temperatures",,,2019,,,"Sponge physioecology on Moorea, French Polynesia: local distribution and filtration efficiency of Lamellodysidea under varying temperatures"
"Lopez, Giselle","Behavioral response of box jellyfish Copula sivickisi to light and chemical cues in Moorea, French Polynesia",,,2019,,,"Behavioral response of box jellyfish Copula sivickisi to light and chemical cues in Moorea, French Polynesia"
"McCarron, Christopher","Functional trait variation in purau (Hibiscus tiliaceus) on the island of Moorea, French Polynesia",,,2019,,,"Functional trait variation in purau (Hibiscus tiliaceus) on the island of Moorea, French Polynesia"
"Petrocelly, Gabby",The Christmas tree worm (Spirobranchus giganteus) as a potential bioindicator of coral reef health,,,2019,,,The Christmas tree worm (Spirobranchus giganteus) as a potential bioindicator of coral reef health
"Rocheleau, Lauren","Foraminiferal assemblages of reef complexes on Moorea, French Polynesia",,,2019,,,"Foraminiferal assemblages of reef complexes on Moorea, French Polynesia"
"Schwartz, Kyle","Observing soil faunal community assemblages with varying land use in Moorea, French Polynesia",,,2019,,,"Observing soil faunal community assemblages with varying land use in Moorea, French Polynesia"
"Sezginer, Yayla",A case study of the calcifying algae Halimeda’s contribution to carbon sequestration on a changing reef,,,2019,,,A case study of the calcifying algae Halimeda’s contribution to carbon sequestration on a changing reef
"Shein, Ben","The ecological niche of Echinothrix calamaris in Moorea, French Polynesia",,,2019,,,"The ecological niche of Echinothrix calamaris in Moorea, French Polynesia"
"Soriano, Jason Mark","Urbanization determines the abundance of disease vector mosquitoes across coastal habitat types in Moorea, French Polynesia",,,2019,,,"Urbanization determines the abundance of disease vector mosquitoes across coastal habitat types in Moorea, French Polynesia"
"Stoner-Osborne, Blake","The effects of marine protected areas on populations of commercial reef fishes in Moorea, French Polynesia",,,2019,,,"The effects of marine protected areas on populations of commercial reef fishes in Moorea, French Polynesia"
"Sturla, Savannah","Coral cover and algae growth along a water quality gradient in Moorea, French Polynesia",,,2019,,,"Coral cover and algae growth along a water quality gradient in Moorea, French Polynesia"
"Zane, Lauren","Distribution, salinity tolerance, and interaction between two freshwater gastropods, Melanoides tuberculata and Thiara graniera on Moorea, French Polynesia",,,2019,,,"Distribution, salinity tolerance, and interaction between two freshwater gastropods, Melanoides tuberculata and Thiara graniera on Moorea, French Polynesia"
"Zhang, Lian","The distribution, behavior, and abundance of the nudibranch, Gymnodoris ceylonica in Moorea, French Polynesia",,,2019,,,"The distribution, behavior, and abundance of the nudibranch, Gymnodoris ceylonica in Moorea, French Polynesia"
"BOVILLE, EA","Look out: giant clam (Tridacna maxima) defense response to visual stimuli in Mo'orea, French Polynesia",,,2018,,,"Look out: giant clam (Tridacna maxima) defense response to visual stimuli in Mo'orea, French Polynesia"
"CHAO, J","Variation in vocalizations of local populations of the common myna (Acridotheres tristis) in Mo'orea, French Polynesia",,,2018,,,"Variation in vocalizations of local populations of the common myna (Acridotheres tristis) in Mo'orea, French Polynesia"
"COZY, ML","Autotomized arm behavior of the brittle star Macrophiothrix longipeda (Echinodermata: Ophiuroidea) in Moorea, French Polynesia",,,2018,,,"Autotomized arm behavior of the brittle star Macrophiothrix longipeda (Echinodermata: Ophiuroidea) in Moorea, French Polynesia"
"DOWD, SC","The spatial orientation, habitat use, and righting ability of fungiids in Mo'orea, French Polynesia",,,2018,,,"The spatial orientation, habitat use, and righting ability of fungiids in Mo'orea, French Polynesia"
"ELLIS, VR","Investigating the behavioral ecology and reef habitat preferences of Limaria fragilis bivalves in Moorea, French Polynesia",,,2018,,,"Investigating the behavioral ecology and reef habitat preferences of Limaria fragilis bivalves in Moorea, French Polynesia"
"JOUGLA, JF","Reactionary behavior of a gobioid fish, Valenciennea strigata, to anthropogenic and natural burrow blockages",,,2018,,,"Reactionary behavior of a gobioid fish, Valenciennea strigata, to anthropogenic and natural burrow blockages"
"KULKOVIT, K",Toxicity of Barringtonia asiatica on Littoraria coccinea and size and weight correlation to toxicity resistance,,,2018,,,Toxicity of Barringtonia asiatica on Littoraria coccinea and size and weight correlation to toxicity resistance
"LIN, WW","Flower morphology and herbivory palatability of the exotic Hibiscus rosa-sinensis and the native Hibiscus tiliaceus on an elevation gradient in Mo'orea, French Polynesia",,,2018,,,"Flower morphology and herbivory palatability of the exotic Hibiscus rosa-sinensis and the native Hibiscus tiliaceus on an elevation gradient in Mo'orea, French Polynesia"
"MALIT, B",Does she have a type? Effects of Heteractis magnifica color morphotype on the preference in Dascyllus trimaculatus and Amphiprion chrysopterus,,,2018,,,Does she have a type? Effects of Heteractis magnifica color morphotype on the preference in Dascyllus trimaculatus and Amphiprion chrysopterus
"MCCANDLESS, H","Touch, shadow, and light: a comparative analysis of sensory systems and stress responses in Spirobranchus giganteuson Mo'orea (French Polynesia)",,,2018,,,"Touch, shadow, and light: a comparative analysis of sensory systems and stress responses in Spirobranchus giganteuson Mo'orea (French Polynesia)"
"MOORE, ML","Using benthic foraminiferal assemblages to assess water quality changes in Mo'orea, French Polynesia",,,2018,,,"Using benthic foraminiferal assemblages to assess water quality changes in Mo'orea, French Polynesia"
"REICH, EG",The thermal acclimatization and susceptibility to grazing of crustose coralline algae from thermally variable and stable environments,,,2018,,,The thermal acclimatization and susceptibility to grazing of crustose coralline algae from thermally variable and stable environments
"ROGGERS, RD",Seeing red: color-biased aggression of Rhinecanthus aculeatus,,,2018,,,Seeing red: color-biased aggression of Rhinecanthus aculeatus
"SANCHEZ ALCAREZ, A",Bioturbation and efficiency of sediment ingestion of the black sea cucumber Holothuria atra based on sediment size,,,2018,,,Bioturbation and efficiency of sediment ingestion of the black sea cucumber Holothuria atra based on sediment size
"SHIN, Y",Effects of the lunar cycle and weather on the behavior of the feral chicken on Mo'orea,,,2018,,,Effects of the lunar cycle and weather on the behavior of the feral chicken on Mo'orea
"SIRISON, N",The role of morphological variation in breaking stress and reproductive investment in the drifting macroalgae Turbinaria ornata (Phaeophyta) in the lagoon system of Mo'orea,,,2018,,,The role of morphological variation in breaking stress and reproductive investment in the drifting macroalgae Turbinaria ornata (Phaeophyta) in the lagoon system of Mo'orea
"STOCK, DM",Localized light sensory in relation to grazing activity of Echinometra mathaei,,,2018,,,Localized light sensory in relation to grazing activity of Echinometra mathaei
"TENNENBAUM, SR",Microhabitat selection and functional morphology in the heterogeneous environment of the cushion starfish Culcita novaeguineae on Mo'orea,,,2018,,,Microhabitat selection and functional morphology in the heterogeneous environment of the cushion starfish Culcita novaeguineae on Mo'orea
"TUITAVUKI, KA","Exploring the impacts of intensified pineapple cultivation on soil health in 'Opunohu Valley, Mo'orea, French Polynesia",,,2018,,,"Exploring the impacts of intensified pineapple cultivation on soil health in 'Opunohu Valley, Mo'orea, French Polynesia"
"WEHSENER, JW","Foraging mode and the factors affecting foraging behavior in the diurnal arboreal gecko, Phelsuma laticauda",,,2018,,,"Foraging mode and the factors affecting foraging behavior in the diurnal arboreal gecko, Phelsuma laticauda"
"YU, J",An investigation of mutualistic behaviors and the evolutionary trait of extrafloral nectaries on Morinda citrifolia,,,2018,,,An investigation of mutualistic behaviors and the evolutionary trait of extrafloral nectaries on Morinda citrifolia
"Arcara, Makayla A.","THE EFFECTS OF HABITAT FRAGMENTATION ON THE ENDANGERED LAND SNAIL PARTULA TAENIATA IN MOOREA, FRENCH POLYNESIA",invertebrate,terrestrial,2017,island ecosystems; endemic species; Partula; Moorea; French Polynesia; predation; habitat fragmentation,,
"Babka, Sophie K.",CORAL RESILIENCE: THE EFFECT OF SUCCESSIVE BLEACHING ON ACROPORA PULCHRA,invertebrate,marine,2017,"Acropora pulchra; climate change; RCP 8.5; surface ocean temperature rise; temperature; coral bleaching; Moorea, French Polynesia",,
"Ding, Michael J.",THE EFFECTS OF SHADE AND ACIDIFICATION ON LIMB REGENERATION IN THE BRITTLE STAR OPHIOCOMINA NIGRA,invertebrate,marine,2017,"brittle stars; limb regeneration; echinoderms; Ophiuroidea; Ophiocomina nigra; temperature; shade;  ocean acidification;  climate change; locomotion; Maharepa, Moorea, French Polynesia",,
"Donelan, Sarah",MICROHABITAT AND COMMUNITY STRUCTURE OF EPILITHIC BRYOPHYTES AND FILMY FERNS IN RELATION TO ISLAND BIOGEOGRAPHY,plant,terrestrial,2017,Bryophyte; moss; liverwort; filmy fern; epilithic; island biogeography; mircotopography; community; structure,,
