input,given,family,orcid,other-names,employment,education,works,peer-reviews,funding,emails,other_names,Total,journal
"Becker,J.",Piet J,Becker,0000-0002-9384-6472,0,0,0,0,0,0,,,0,
"Becker,J.",Cynthia J.,Becker,0000-0002-9594-448X,0,1,0,0,0,0,,,1,
"Becker,J.",Udo J.,Becker,0000-0001-7707-7055,0,1,0,167,0,0,,,168,Internationales Verkehrswesen
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,1,0,4,2,0,0,1,,3,ACS Omega
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,0,3,3,3,0,2,,,8,Amazon
"Becker,J.",Albert J.,Becker,0000-0003-2661-3705,0,1,0,1,1,0,,,3,
"Becker,J.",J. Ole,Becker,0000-0002-2204-3613,1,1,0,7,7,0,,,15,International Turfgrass Society Research Journal
"Churcher,T. P.",T. P.,Churcher,Not Found,,,,,,,,,0,
"Denhoy,R.",R.,Denhoy,Not Found,,,,,,,,,0,
"Battersby,G.",G.,Battersby,Not Found,,,,,,,,,0,
"Elmquist,G.",G.,Elmquist,Not Found,,,,,,,,,0,
"Engel,L.",MARIELA L.,ENGEL,0000-0002-5735-5887,0,1,0,0,0,0,,,1,
"Engel,L.",Abbi L,Engel,0000-0002-2664-2082,0,0,0,0,0,0,,,0,
"Ferris,L. A.",Alan L.,Ferris,0009-0005-7877-9426,0,1,0,5,0,0,,,6,ECS Meeting Abstracts
"Gilchrist,M. A.",M. A.,Gilchrist,Not Found,,,,,,,,,0,
"Graff,J. R.",Harvey J.,Graff,0000-0003-3761-931X,0,1,1,0,0,0,,,1,
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,0,2,3,99,5,0,,,106,Comprehensive Child and Adolescent Nursing
"London,S.",S.,London,Not Found,,,,,,,,,0,
"Tucker,L.",Mary L,Tucker,0000-0001-8899-0800,0,1,0,0,0,0,,,1,
"Santiago,L.",Brenda L,Santiago,0000-0002-6063-2769,0,0,1,0,0,0,,,0,
"Santiago,L.",Mario L.,Santiago,0000-0001-7792-2706,0,1,2,79,1,0,,,81,Journal of Virology
"Santiago,L.",Jose L.,Santiago,0000-0002-1379-9478,0,2,0,15,1,0,,,18,Marine Policy
"Santiago,L.",Dr. Riogel L.,Santiago,0000-0002-1748-6903,0,0,0,0,0,0,,,0,
"Santiago,L.",L Goretti,Santiago Gutierrez,0000-0001-6793-7349,6,1,1,0,0,0,,,1,
"Santiago,L.",Sandra L.,Soto-Santiago,0000-0002-8078-7063,0,1,1,2,0,0,,,3,Studies in Psychology: Estudios de Psicología
"Shiley,S.",S.,Shiley,Not Found,,,,,,,,,0,
"Shima,J. S.",J. S.,Shima,Not Found,,,,,,,,,0,
"Angeloni,L. M.",L. M.,Angeloni,Not Found,,,,,,,,,0,
"Bernstone,L.",L.,Bernstone,Not Found,,,,,,,,,0,
"Bickel,K.",K.,Bickel,Not Found,,,,,,,,,0,
"Colborn,K.",K.,Colborn,Not Found,,,,,,,,,0,
"Rice,J.",Edward J.,Rice,0000-0001-8501-6009,0,0,0,0,0,0,,,0,
"Rice,J.",Peter J,Rice,0000-0002-0707-0138,0,0,0,0,0,0,,,0,
"Daniels,J. M.",J. Michael,Daniels,0000-0002-1673-4231,0,1,0,21,0,0,,,22,Geomorphology
"Daniels,J. M.",Daniel J.,Daniels,0009-0007-8031-4147,0,1,0,0,0,0,1,,2,
"Daniels,J. M.",R J Ranjit,Daniels,0000-0003-2134-6310,0,0,0,2,0,0,,,2,Journal of Threatened Taxa
"Daniels,J. M.",Vicky J.,"Daniels, Miller",0009-0003-4733-3232,0,1,1,2,0,0,,,3,
"Daniels,J. M.","John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,0,0,0,0,0,0,,,0,
"Daniels,J. M.","Jacquitta Daniels, J. KaTrina Daniels, KaTrina Daniels, Jacquitta K. Daniels",Daniels,0009-0000-4045-9527,0,0,0,0,0,0,,,0,
"Gade,K. J.",K. J.,Gade,Not Found,,,,,,,,,0,
"Gigler,U.",U.,Gigler,Not Found,,,,,,,,,0,
"Goldman,J.",J.,Goldman,Not Found,,,,,,,,,0,
"Iwanchuk,R. O.",R. O.,Iwanchuk,Not Found,,,,,,,,,0,
"Sakagawa,B.",B.,Sakagawa,Not Found,,,,,,,,,0,
"Sandstedt,J. E.",J. E.,Sandstedt,Not Found,,,,,,,,,0,
"Schwartz,J.",Allan J,Schwartz,0000-0003-0869-4249,0,0,0,0,0,0,,,0,
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,0,1,4,6,0,0,,,7,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies"
"Schwartz,J.",Rodrigo J,Schwartz,0000-0003-1609-143X,0,0,0,3,0,0,,,3,Journal of the European Academy of Dermatology and Venereology
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,0,1,3,955,25,0,,,981,Circulation
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,0,3,2,1,0,0,1,,5,The World Economy
"Smith,S. L.",s,smith,0009-0001-0644-3377,0,0,0,0,0,0,,,0,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,0,6,3,422,5,0,,,433,Biological Bulletin
"Smith,S. L.",S Kathryn,Smith,0000-0001-9103-2064,0,0,0,0,0,0,,,0,
"Smith,S. L.",S. Faye,Smith,0000-0003-1146-8509,0,0,0,0,0,0,,,0,
"Smith,S. L.",James S,Smith,0000-0001-9685-3849,0,0,0,0,0,0,,,0,
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,0,10,3,0,0,0,,,10,
"Smith,S. L.",Malinda S,Smith,0000-0001-5754-455X,0,1,0,9,0,0,,,10,Ashgate
"Smith,S. L.",Kirsty S,Smith,0000-0003-2637-3561,0,1,0,3,0,0,,,4,Diagnostics
"Smith,S. L.",Raymond S,Smith,0000-0002-8310-5339,0,0,0,0,0,0,,,0,
"Smith,S. L.",Jacqueline S.,Smith,0000-0002-3934-5124,0,1,2,0,0,0,1,,2,
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,0,5,2,0,0,0,1,,6,
"Smith,S. L.",S. Megan,Smith,0000-0002-5366-8325,0,0,0,0,0,0,,,0,
"Smith,S. L.",Isabelle S,Smith,0000-0001-7395-1358,0,0,0,4,0,0,,,4,British Journal of Health Psychology
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,1,4,3,1,0,0,,,5,Beyond Behavior
"Smith,S. L.",Veronica S,Smith,0000-0001-6053-5961,0,1,0,4,0,0,,,5,Journal of Health Care for the Poor and Underserved
"Smith,S. L.",Carl S,Smith,0000-0003-1581-9855,0,2,0,2,0,0,,,4,The Journal of Physiology
"Smith,S. L.",Sharon S.,Smith,0009-0003-7055-4076,0,0,0,0,0,0,,,0,
"Smith,S. L.",S. Paul,Smith,0000-0003-0562-9492,0,0,0,1,0,0,,,1,Journal of Algebra
"Smith,S. L.",S. Kendall,Smith,0000-0003-0718-1150,0,0,0,2,2,1,,,5,BJA Open
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,0,1,4,0,0,0,1,,2,
"Smith,S. L.",Malinda S.,Smith,0009-0006-3029-630X,0,1,0,0,0,0,,,1,
"Smith,S. L.",Lars S.,Smith,0009-0001-2184-1808,0,1,0,2,0,0,,,3,Communications of the ACM
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,2,2,3,3,0,0,,,5,Urban Forestry & Urban Greening
"Smith,S. L.",Russell S.,Smith,0009-0002-5515-4149,0,0,0,0,0,0,,,0,
"Smith,S. L.",Richard S.,Smith,0000-0001-9220-0787,0,1,1,105,0,0,,,106,Current biology : CB
"Smith,S. L.",Deborah S,Smith,0000-0002-8420-1824,0,0,0,4,3,0,,,7,Cancers
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,0,1,3,14,0,0,1,,16,Frontiers in Marine Science
"Smith,S. L.",Jennifer S,Smith,0000-0002-1256-0422,0,0,0,29,3,0,,,32,"Cancer Epidemiology, Biomarkers & Prevention"
