input,given,family,orcid,name,identifier,department,degree,start,end
Jeffrey Becker,Jeffrey,Becker,0000-0002-9799-7243,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0002-0061-1392,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-7645-2466,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0003-0467-5913,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,The University of North Carolina at Chapel Hill,2331,Classics,Ph.D.,2003,2007
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of North Carolina at Chapel Hill,2331,Classics,M.A.,2000,2003
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Franklin and Marshall College,4400,Classics,"A.B., Classical archaeology and Latin",1995,1999
Jeffrey Becker,Jeffrey,Becker,0009-0007-6442-9462,,,,,,
Leslie Engel,Leslie,Engel,0000-0002-9774-238X,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0002-6936-0771,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University of Sheffield,7315,Mechanical Engineering,DEng,,2008
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University of Sheffield,7315,Mechanical & Process Engineering,PhD,1988,1991
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Galway,8799,Mechanical Engineering,MEngSc,1986,1988
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Galway,8799,Mechanical Engineering,BE (Hons),1982,1986
Michael A. Gilchrist,Michael,Gilchrist,0000-0001-9762-1951,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0001-8261-3158,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0002-2931-9547,,,,,,
Marc Kramer,marc,kramer,0000-0002-8022-4527,,,,,,
Marc Kramer,Marc M.,Kramer,0000-0003-2636-8658,,,,,,
Louis Santiago,Louis,Santiago,0000-0002-6943-7177,,,,,,
Louis Santiago,Louis,Santiago,0000-0001-5994-6122,,,,,,
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,University of California Santa Barbara,8786,"Ecology, Evolution, and Marine Biology",PhD,1994,1999
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,University of California Berkeley,1438,Integrative Biology,AB,1990,1994
Lisa M. Angeloni,Lisa,Angeloni,0000-0002-2385-0599,,,,,,
Katherine Colburn,Katherine,Colburn,0000-0002-8263-7376,,,,,,
Katherine Colburn,Katherine,Colburn,0009-0004-0441-6000,Texas A&M University – Corpus Christi,https://ror.org/01mrfdz82,Kinesiology,BS in Kinesiology,2020,2024
James Michael Daniels,James,Daniels,0000-0001-8600-5715,,,,,,
James Michael Daniels,James,Daniels,0000-0002-1160-7073,,,,,,
James Michael Daniels,James,Daniels,0000-0002-6737-6622,,,,,,
James Michael Daniels,James,Daniels,0000-0002-0771-4730,,,,,,
James Michael Daniels,James,Daniels,0000-0002-9066-8631,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6025-6751,,,,,,
James Michael Daniels,James,Daniels,0000-0002-5933-8423,Worshipful Society of Apothecaries,https://ror.org/04t4q4w41,,Diploma in the Medical Care of Catastrophes,2022,2022
James Michael Daniels,James,Daniels,0000-0002-5933-8423,University of Exeter,https://ror.org/03yghzc09,,"Bachelor of Medicine, Bachelor of Surgery",2014,2019
James Michael Daniels,James,Daniels,0009-0006-5760-0471,,,,,,
James Michael Daniels,James,Daniels,0009-0007-8473-4413,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6648-0754,,,,,,
James Michael Daniels,James,Daniels,0000-0003-3360-6175,,,,,,
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,"School of Medicine, University of Missouri",http://dx.doi.org/10.13039/100018719,,MD,2017,2021
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,"University of California, Riverside",https://ror.org/03nawhv43,,BA,2008,2013
James Michael Daniels,"John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,,,
Kristin Gade,Kristin,Gade,0000-0003-3564-9494,,,,,,
Jeffrey Goldman,Jeffrey,Goldman,0009-0004-7094-9964,,,,,,
Jason Rice,Jason,Rice,0000-0003-2686-2445,,,,,,
Jason Rice,Jason,Rice,0000-0002-1903-5997,Loyola University Chicago Stritch School of Medicine,12248,,MD,2006,2010
Jason Rice,Jason,Rice,0000-0002-1903-5997,University of Illinois System,8101,,BA,1999,2003
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-5253-4608,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-3653-2557,University of Chicago,,Committee on Social Thought,Ph.D.,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-4806-193X,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,University of Rochester School of Medicine and Dentistry,12299,,,,2006
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,Cornell University,5922,,,,2000
Jeremy Schwartz,Jeremy,Speed-Schwartz,0009-0004-3839-2860,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-7013-8679,Texas A&M Engineering,122656,Educational Psychology,Ph.D.,2008,2013
Stacey L. Smith,STACEY,SMITH,0000-0003-2010-4459,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-0147-6444,Texas Woman's University,2910,Counseling Psychology,Doctor of Philosophy,2007,2013
Stacey L. Smith,Stacey,Smith,0000-0003-0139-338X,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-2425-1950,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-7438-9827,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-9224-7219,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5588-2328,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0002-0069-3831,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0001-4248-3958,,,,,,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,McMaster University,,,Ph.D.,1995,2001
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,Macquarie University,,,BSc (HONS),1991,1995
Stacey L. Smith,Stacey,Glass-Smith,0000-0002-8813-4120,,,,,,
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,University of North Carolina at Chapel Hill,2331,Library and Information Science,MSLS,1987,1989
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,University of North Carolina at Chapel Hill,2331,Psychology,none,1984,1985
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,Purdue University,311308,Psychology,BA,1980,1984
Stacey L. Smith,Stacey,Mills-Smith,0009-0009-3941-4036,,,,,,
Stacey L. Smith,Stacey Burkhalter,Smith,0009-0003-8318-0114,,,,,,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Technical University of Denmark,,Department of Chemistry,Doctor of Philosophy (Ph.D.),2008,2013
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Technical University of Denmark,,,"Master of Engineering, Biotechnology",2002,2007
Erin Boyd,Erin,Boyd,0000-0002-2230-2419,,,,,,
Erin Boyd,Erin,Boyd,0000-0002-3611-7505,,,,,,
Martha O. Burford,Martha ,Burford,0009-0002-1731-7226,,,,,,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,University of California Santa Cruz,8787,Ecology and Evolutionary Biology,PhD,2001,2007
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,San Francisco State University,7147,Biology,MA,1999,2001
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,University of California Berkeley,1438,Integrative Biology,BA,1993,1995
Carolyn Cruz,carolyn,de la cruz,0000-0003-3424-9747,,,,,,
Carolyn Cruz,jossely carolyn,colombino de la cruz,0000-0001-9103-2558,,,,,,
Lia M. Gaertner,Lia,Gaertner,0009-0002-6512-017X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-2286-6046,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-3026-562X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-5433-6840,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0002-2783-6460,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0001-6356-3976,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0009-2844-5099,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0007-0115-6049,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0003-0165-7488,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,"Biomechanics, Human Movement & Exercise Sciences",Habilitation,2008,2014
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,University of Queensland,1974,Sensorimotor Neuroscience,Postdoctoral Researcher,2010,2011
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,Biomechanics in Sports,PhD ,2002,2008
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,Faculty of Sport Science,Diploma (MSc) in Sport Science,1996,2001
Daniel R. Hahn,Daniel Luca,Hahn,0009-0002-4306-6942,Leipzig University of Applied Sciences,https://ror.org/03xgcq477,Industrial Engineering,Master of Science,2022,2025
Rebecca Johnson,Rebecca,Johnson,0000-0002-3564-5189,,,,,,
