input,given,family,orcid,name,identifier,start,end
"Becker,J.",Piet J,Becker,0000-0002-9384-6472,,,,
"Becker,J.",Cynthia J.,Becker,0000-0002-9594-448X,Boston University,,2005,
"Becker,J.",Udo J.,Becker,0000-0001-7707-7055,TU Dresden,grid.4488.0,1994,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,,,,
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Universidad San Sebastián,373328,2021,
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Instituto Profesional y Centro de Formación Técnica DuocUC,,2020,2020
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Instituto de la Cerveza,,2017,2019
"Becker,J.",Albert J.,Becker,0000-0003-2661-3705,University of Bonn,https://ror.org/041nas322,,
"Becker,J.",J. Ole,Becker,0000-0002-2204-3613,University of California Riverside,8790,1992,
"Engel,L.",MARIELA L.,ENGEL,0000-0002-5735-5887,VARIOS CLIENTES,,2008,
"Engel,L.",Abbi L,Engel,0000-0002-2664-2082,,,,
"Ferris,L. A.",Alan L.,Ferris,0009-0005-7877-9426,North Carolina State University,https://ror.org/04tj63d06,2023,
"Graff,J. R.",Harvey J.,Graff,0000-0003-3761-931X,The Ohio State University,https://ror.org/00rs6vg23,2004,
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,University of Tennessee Health Science Center,https://ror.org/0011qv509,2022,
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,The University of Tennessee Health Science Center,12326,2001,
"Tucker,L.",Mary L,Tucker,0000-0001-8899-0800,Ohio University,1354,1998,
"Santiago,L.",Brenda L,Santiago,0000-0002-6063-2769,,,,
"Santiago,L.",Mario L.,Santiago,0000-0001-7792-2706,University of Colorado Denver,,2009,
"Santiago,L.",Jose L.,Santiago,0000-0002-1379-9478,International Campus of Excellence,,2012,
"Santiago,L.",Jose L.,Santiago,0000-0002-1379-9478,Centro Tecnológico del Mar - Fundación CETMAR,,2011,
"Santiago,L.",Dr. Riogel L.,Santiago,0000-0002-1748-6903,,,,
"Santiago,L.",L Goretti,Santiago Gutierrez,0000-0001-6793-7349,San Miguel Adicciones,,1996,
"Santiago,L.",Sandra L.,Soto-Santiago,0000-0002-8078-7063,University of Puerto Rico-Mayaguez,grid.267044.3,2014,
"Rice,J.",Edward J.,Rice,0000-0001-8501-6009,,,,
"Rice,J.",Peter J,Rice,0000-0002-0707-0138,,,,
"Daniels,J. M.",J. Michael,Daniels,0000-0002-1673-4231,University of Denver,,2007,
"Daniels,J. M.",Daniel J.,Daniels,0009-0007-8031-4147,University of Manitoba,https://ror.org/02gfys938,,
"Daniels,J. M.",R J Ranjit,Daniels,0000-0003-2134-6310,,,,
"Daniels,J. M.",Vicky J.,"Daniels, Miller",0009-0003-4733-3232,Gonzaga University,https://ror.org/03ze70h02,,
"Daniels,J. M.","John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,
"Daniels,J. M.","Jacquitta Daniels, J. KaTrina Daniels, KaTrina Daniels, Jacquitta K. Daniels",Daniels,0009-0000-4045-9527,,,,
"Schwartz,J.",Allan J,Schwartz,0000-0003-0869-4249,,,,
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,Stony Brook University Hospital,https://ror.org/05wyq9e07,2014,
"Schwartz,J.",Rodrigo J,Schwartz,0000-0003-1609-143X,,,,
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,IRCCS Istituto Auxologico Italiano,https://ror.org/033qpss18,2013,
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,Hope College,grid.257108.9,2016,
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,Gordon College,,1987,2016
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,Middlebury College,5457,1985,1987
"Smith,S. L.",s,smith,0009-0001-0644-3377,,,,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Southampton,7423,,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Southampton,7423,2011,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,Marine Biological Laboratory,grid.144532.5,1991,2011
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,"University of Cambridge, Zoology",339766,1982,1991
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,University of Cambridge Sidney Sussex College,61457,1986,1991
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,The University of Manchester,5292,1979,1982
"Smith,S. L.",S Kathryn,Smith,0000-0001-9103-2064,,,,
"Smith,S. L.",S. Faye,Smith,0000-0003-1146-8509,,,,
"Smith,S. L.",James S,Smith,0000-0001-9685-3849,,,,
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,"SynchroPET, Inc",,2014,2016
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,"SA Instruments, Inc",,2003,2014
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Brookhaven National Laboratory,8099,2006,2012
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,"Magnaserv, Inc",,2002,2003
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Bayshore Medical,,2001,2002
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,"ACCESS Medical Equipment Group, Inc.",,1993,2000
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Medical Funding of America,,1990,1993
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,INNOVISION Diagnostic Imaging Corporation,,1986,1990
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Fonar Corp,19675,1982,1986
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,Brookhaven National Laboratory,8099,1978,1981
"Smith,S. L.",Malinda S,Smith,0000-0001-5754-455X,University of Alberta,3158,2004,
"Smith,S. L.",Kirsty S,Smith,0000-0003-2637-3561,UNSW Sydney,https://ror.org/03r8z3t63,,
"Smith,S. L.",Raymond S,Smith,0000-0002-8310-5339,,,,
"Smith,S. L.",Jacqueline S.,Smith,0000-0002-3934-5124,St. Jude Children's Research Hospital,,,
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,SmithChemTech LLC,,2019,
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,Arkema Inc,58235,1992,2019
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,Allco Chemical Corp. / Lenzing USA ,,1987,1992
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,University of Chicago,2462,1986,1987
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,Oklahoma State University,,1982,1986
"Smith,S. L.",S. Megan,Smith,0000-0002-5366-8325,,,,
"Smith,S. L.",Isabelle S,Smith,0000-0001-7395-1358,,,,
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Southeast Missouri State University,2251,2020,
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Leander ISD,,2009,2015
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Education Service Center Region XIII,,2005,2009
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,Leander Independent School District,126346,2000,2005
"Smith,S. L.",Veronica S,Smith,0000-0001-6053-5961,data2insight LLC,,2010,
"Smith,S. L.",Carl S,Smith,0000-0003-1581-9855,University of Minnesota Twin Cities School of Medicine,12269,,
"Smith,S. L.",Carl S,Smith,0000-0003-1581-9855,Hennepin County Medical Center,https://ror.org/01k7a6660,1983,
"Smith,S. L.",Sharon S.,Smith,0009-0003-7055-4076,,,,
"Smith,S. L.",S. Paul,Smith,0000-0003-0562-9492,,,,
"Smith,S. L.",S. Kendall,Smith,0000-0003-0718-1150,,,,
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,"Robert Smith Consulting, LLC",,2023,
"Smith,S. L.",Malinda S.,Smith,0009-0006-3029-630X,University of Calgary,https://ror.org/03yjb2x39,,
"Smith,S. L.",Lars S.,Smith,0009-0001-2184-1808,University of Louisville,https://ror.org/01ckdn478,2000,
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,RALSpace,,2019,2022
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,Met Office,https://ror.org/01ch2yn61,2018,2018
"Smith,S. L.",Russell S.,Smith,0009-0002-5515-4149,,,,
"Smith,S. L.",Richard S.,Smith,0000-0001-9220-0787,John Innes Centre,https://ror.org/055zmrh94,,
"Smith,S. L.",Deborah S,Smith,0000-0002-8420-1824,,,,
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,Concordia University,https://ror.org/0420zvk78,2023,2027
"Smith,S. L.",Jennifer S,Smith,0000-0002-1256-0422,,,,
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,Birmingham City University,https://ror.org/00t67pt25,2017,
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,MoD,https://ror.org/01bvxzn29,2002,2027
"Smith,S. L.",Michael S. D.,Smith,0000-0002-1952-3616,National Research Council Canada,,2004,
"Boyd,E.",Alicia E.,Boyd,0000-0002-2077-3823,,,,
"Boyd,E.",E. Fidelma,Boyd,0000-0001-7435-4897,University of Delaware,5972,,
"Boyd,E.","Ethan, Ethan Robert, E. Robert",Boyd,0009-0002-1269-7186,Reaxys by Elsevier,,2022,
"Boyd,E.","Ethan, Ethan Robert, E. Robert",Boyd,0009-0002-1269-7186,Balmoral Biogenic Amines,,2019,
"Boyd,E.","Ethan, Ethan Robert, E. Robert",Boyd,0009-0002-1269-7186,American Society for Biochemistry and Molecular Biology,https://ror.org/025mg0739,2019,
"Hahn,D. R.",Phillip D.,Hahn,0000-0002-7666-7632,Boston Children's Hospital,1862,2019,
"Hahn,D. R.",Phillip D.,Hahn,0000-0002-7666-7632,Philadelphia Department of Public Health,6542,2017,2019
"Johnson,R.",R Wayne,Johnson,0000-0003-4280-5715,,,,
"Johnson,R.",Renee R ,Johnson,0000-0001-9493-0863,,,,
"Johnson,R.",Brian R.,Johnson,0000-0002-8272-5448,University of Washington,7284,1981,
"Johnson,R.",Jay R.,Johnson,0000-0001-8174-7103,,,,
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,Saint Luke's Health System,14414,2014,
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,UW Health,529799,2011,2013
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,University of Wisconsin-Madison,5228,2008,2011
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,University of Wisconsin-Madison,5228,2006,2008
"Johnson,R.",Joseph R.,Johnson,0009-0000-9618-4163,Georgetown University,https://ror.org/05vzafd60,,
"Johnson,R.",Paula R,Johnson,0009-0005-9020-7615,,,,
