input,given,family,orcid,title,funder,identifier,award,start,end
"Becker,J.",Piet J,Becker,0000-0002-9384-6472,,,,,,
"Becker,J.",Cynthia J.,Becker,0000-0002-9594-448X,,,,,,
"Becker,J.",Udo J.,Becker,0000-0001-7707-7055,,,,,,
"Becker,J.",J. Philipp,Becker,0000-0002-8521-626X,,,,,,
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,"Habilitación de Infraestructura (física y virtual), mejora continua a servicios, capacitaciónes y confianza gremial.",Sercotec,,,2013,2014
"Becker,J.",Emilio J.,Becker,0000-0001-6201-8175,Conservación de Espacios Deportivos.,Gobierno Regional Valparaíso,,,2018,2018
"Becker,J.",Albert J.,Becker,0000-0003-2661-3705,,,,,,
"Becker,J.",J. Ole,Becker,0000-0002-2204-3613,,,,,,
"Engel,L.",MARIELA L.,ENGEL,0000-0002-5735-5887,,,,,,
"Engel,L.",Abbi L,Engel,0000-0002-2664-2082,,,,,,
"Ferris,L. A.",Alan L.,Ferris,0009-0005-7877-9426,,,,,,
"Graff,J. R.",Harvey J.,Graff,0000-0003-3761-931X,,,,,,
"Graff,J. R.",J. Carolyn,Graff,0000-0003-1263-7204,,,,,,
"Tucker,L.",Mary L,Tucker,0000-0001-8899-0800,,,,,,
"Santiago,L.",Brenda L,Santiago,0000-0002-6063-2769,,,,,,
"Santiago,L.",Mario L.,Santiago,0000-0001-7792-2706,,,,,,
"Santiago,L.",Jose L.,Santiago,0000-0002-1379-9478,,,,,,
"Santiago,L.",Dr. Riogel L.,Santiago,0000-0002-1748-6903,,,,,,
"Santiago,L.",L Goretti,Santiago Gutierrez,0000-0001-6793-7349,,,,,,
"Santiago,L.",Sandra L.,Soto-Santiago,0000-0002-8078-7063,,,,,,
"Rice,J.",Edward J.,Rice,0000-0001-8501-6009,,,,,,
"Rice,J.",Peter J,Rice,0000-0002-0707-0138,,,,,,
"Daniels,J. M.",J. Michael,Daniels,0000-0002-1673-4231,,,,,,
"Daniels,J. M.",Daniel J.,Daniels,0009-0007-8031-4147,,,,,,
"Daniels,J. M.",R J Ranjit,Daniels,0000-0003-2134-6310,,,,,,
"Daniels,J. M.",Vicky J.,"Daniels, Miller",0009-0003-4733-3232,,,,,,
"Daniels,J. M.","John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,,,
"Daniels,J. M.","Jacquitta Daniels, J. KaTrina Daniels, KaTrina Daniels, Jacquitta K. Daniels",Daniels,0009-0000-4045-9527,,,,,,
"Schwartz,J.",Allan J,Schwartz,0000-0003-0869-4249,,,,,,
"Schwartz,J.",Guy J,Schwartz,0000-0002-8882-0534,,,,,,
"Schwartz,J.",Rodrigo J,Schwartz,0000-0003-1609-143X,,,,,,
"Schwartz,J.",Peter J.,Schwartz,0000-0003-0367-1048,,,,,,
"Smith,S. L.",Stephen L. S.,Smith,0000-0002-2212-881X,,,,,,
"Smith,S. L.",s,smith,0009-0001-0644-3377,,,,,,
"Smith,S. L.",Peter J S,Smith,0000-0003-4400-6853,,,,,,
"Smith,S. L.",S Kathryn,Smith,0000-0001-9103-2064,,,,,,
"Smith,S. L.",S. Faye,Smith,0000-0003-1146-8509,,,,,,
"Smith,S. L.",James S,Smith,0000-0001-9685-3849,,,,,,
"Smith,S. L.",S David,Smith,0000-0001-7384-6080,,,,,,
"Smith,S. L.",Malinda S,Smith,0000-0001-5754-455X,,,,,,
"Smith,S. L.",Kirsty S,Smith,0000-0003-2637-3561,,,,,,
"Smith,S. L.",Raymond S,Smith,0000-0002-8310-5339,,,,,,
"Smith,S. L.",Jacqueline S.,Smith,0000-0002-3934-5124,,,,,,
"Smith,S. L.",Gary S.,Smith,0000-0002-7107-5048,,,,,,
"Smith,S. L.",S. Megan,Smith,0000-0002-5366-8325,,,,,,
"Smith,S. L.",Isabelle S,Smith,0000-0001-7395-1358,,,,,,
"Smith,S. L.",S. D.,Smith,0000-0002-9474-7185,,,,,,
"Smith,S. L.",Veronica S,Smith,0000-0001-6053-5961,,,,,,
"Smith,S. L.",Carl S,Smith,0000-0003-1581-9855,,,,,,
"Smith,S. L.",Sharon S.,Smith,0009-0003-7055-4076,,,,,,
"Smith,S. L.",S. Paul,Smith,0000-0003-0562-9492,,,,,,
"Smith,S. L.",S. Kendall,Smith,0000-0003-0718-1150,Role of Transcriptomic Circadian Rhythms in Postoperative Delirium,International Anesthesia Research Society,,866235,2021,2023
"Smith,S. L.",Robert S.,Smith,0009-0008-6586-5810,,,,,,
"Smith,S. L.",Malinda S.,Smith,0009-0006-3029-630X,,,,,,
"Smith,S. L.",Lars S.,Smith,0009-0001-2184-1808,,,,,,
"Smith,S. L.",Eleanor S.,Smith,0000-0002-6448-5778,,,,,,
"Smith,S. L.",Russell S.,Smith,0009-0002-5515-4149,,,,,,
"Smith,S. L.",Richard S.,Smith,0000-0001-9220-0787,,,,,,
"Smith,S. L.",Deborah S,Smith,0000-0002-8420-1824,,,,,,
"Smith,S. L.",Nicola S.,Smith,0000-0002-1569-7790,,,,,,
"Smith,S. L.",Jennifer S,Smith,0000-0002-1256-0422,,,,,,
"Smith,S. L.",David G S,Smith,0009-0004-2266-9327,,,,,,
"Smith,S. L.",Michael S. D.,Smith,0000-0002-1952-3616,,,,,,
"Boyd,E.",Alicia E.,Boyd,0000-0002-2077-3823,,,,,,
"Boyd,E.",E. Fidelma,Boyd,0000-0001-7435-4897,,,,,,
"Boyd,E.","Ethan, Ethan Robert, E. Robert",Boyd,0009-0002-1269-7186,,,,,,
"Hahn,D. R.",Phillip D.,Hahn,0000-0002-7666-7632,,,,,,
"Johnson,R.",R Wayne,Johnson,0000-0003-4280-5715,,,,,,
"Johnson,R.",Renee R ,Johnson,0000-0001-9493-0863,,,,,,
"Johnson,R.",Brian R.,Johnson,0000-0002-8272-5448,,,,,,
"Johnson,R.",Jay R.,Johnson,0000-0001-8174-7103,,,,,,
"Johnson,R.",R. Erin,Johnson,0000-0003-1523-3256,,,,,,
"Johnson,R.",Joseph R.,Johnson,0009-0000-9618-4163,,,,,,
"Johnson,R.",Paula R,Johnson,0009-0005-9020-7615,,,,,,
"Johnson,R.",Marcia R.,Johnson,0000-0001-9625-8425,,,,,,
"Johnson,R.",R. Daniel,Johnson,0000-0001-5108-701X,,,,,,
"Johnson,R.",LeAnne R.,Johnson,0009-0000-0146-880X,,,,,,
