input	given	family	orcid	other-names	employment	education	works	peer-reviews	funding	emails
Gregory Battersby	Gregory	Battersby	Not Found							
Jeffrey Becker	Jeffrey	Becker	0000-0002-9799-7243	0.0	0.0	0.0	0.0	0.0	0.0	
Jeffrey Becker	Jeffrey	Becker	0000-0002-0061-1392	0.0	1.0	0.0	0.0	0.0	0.0	
Jeffrey Becker	Jeffrey	Becker	0000-0001-7645-2466	0.0	0.0	0.0	27.0	0.0	0.0	
Jeffrey Becker	Jeffrey	Becker	0000-0003-0467-5913	0.0	0.0	0.0	2.0	1.0	0.0	
Jeffrey Becker	Jeffrey	Becker	0000-0001-8759-3774	0.0	12.0	3.0	22.0	0.0	0.0	1.0
Jeffrey Becker	Jeffrey	Becker	0009-0007-6442-9462	0.0	1.0	0.0	2.0	3.0	0.0	
Tegan Paige Churcher	Tegan Paige	Churcher	Not Found							
Raj Denhoy	Raj	Denhoy	Not Found							
Gretchen Elmquist	Gretchen	Elmquist	Not Found							
Leslie Engel	Leslie	Engel	0000-0002-9774-238X	0.0	0.0	0.0	0.0	0.0	0.0	
Lorien A. Ferris	Lorien A.	Ferris	Not Found							
Michael A. Gilchrist	Michael	Gilchrist	0000-0002-6936-0771	0.0	1.0	0.0	34.0	4.0	0.0	
Michael A. Gilchrist	Michael	Gilchrist	0000-0003-1765-429X	1.0	4.0	4.0	171.0	0.0	0.0	
Michael A. Gilchrist	Michael	Gilchrist	0000-0001-9762-1951	0.0	0.0	0.0	0.0	0.0	0.0	
Jennifer R. Graff	Jennifer	Graff	0000-0001-8261-3158	0.0	0.0	0.0	0.0	0.0	0.0	
Jennifer R. Graff	Jennifer	Graff	0000-0002-2931-9547	0.0	1.0	0.0	0.0	0.0	0.0	
Marc Kramer	marc	kramer	0000-0002-8022-4527	0.0	0.0	0.0	0.0	0.0	0.0	
Marc Kramer	Marc M.	Kramer	0000-0003-2636-8658	0.0	1.0	0.0	10.0	0.0	0.0	
Sharon London	Sharon	London	Not Found							
Louis Santiago	Louis	Santiago	0000-0002-6943-7177	0.0	0.0	0.0	0.0	0.0	0.0	
Louis Santiago	Louis	Santiago	0000-0001-5994-6122	0.0	1.0	0.0	127.0	172.0	0.0	
Sam Shiley	Sam	Shiley	Not Found							
Jeffrey S. Shima	Jeffrey	Shima	0000-0001-5770-4859	3.0	1.0	2.0	58.0	4.0	3.0	
Laurie Tucker	Laurie	Tucker	Not Found							
Lisa M. Angeloni	Lisa	Angeloni	0000-0002-2385-0599	0.0	0.0	0.0	0.0	0.0	0.0	
Larry Bernstone	Larry	Bernstone	Not Found							
Kathryn Bickel	Kathryn	Bickel	Not Found							
Katherine Colburn	Katherine	Colburn	0000-0002-8263-7376	0.0	0.0	0.0	0.0	0.0	0.0	
Katherine Colburn	Katherine	Colburn	0009-0004-0441-6000	0.0	1.0	1.0	1.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0001-8600-5715	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0002-1160-7073	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0002-6737-6622	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0002-0771-4730	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0002-9066-8631	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0009-0000-6025-6751	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0002-5933-8423	0.0	1.0	2.0	2.0	0.0	0.0	
James Michael Daniels	James	Daniels	0009-0006-5760-0471	0.0	0.0	0.0	1.0	0.0	0.0	
James Michael Daniels	James	Daniels	0009-0007-8473-4413	0.0	0.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0009-0000-6648-0754	0.0	1.0	0.0	0.0	0.0	0.0	
James Michael Daniels	James	Daniels	0000-0003-3360-6175	0.0	0.0	0.0	3.0	0.0	0.0	
James Michael Daniels	James Percy	Daniels	0000-0002-2401-2474	1.0	2.0	2.0	7.0	0.0	0.0	
James Michael Daniels	John Daniels, John J. Daniels, John James Daniels	Daniels	0009-0007-0380-2366	0.0	0.0	0.0	0.0	0.0	0.0	
Kristin Gade	Kristin	Gade	0000-0003-3564-9494	0.0	0.0	0.0	0.0	0.0	0.0	
Ute Gigler	Ute	Gigler	Not Found							
Jeffrey Goldman	Jeffrey	Goldman	0009-0004-7094-9964	0.0	1.0	0.0	0.0	2.0	0.0	
Russell Iwanchuck	Russell	Iwanchuck	Not Found							
Jason Rice	Jason	Rice	0000-0003-2686-2445	0.0	0.0	0.0	0.0	0.0	0.0	
Jason Rice	Jason	Rice	0000-0002-1903-5997	0.0	1.0	2.0	0.0	5.0	0.0	
Bryn Sakagawa	Bryn	Sakagawa	Not Found							
J. Erik Sandstedt	J. Erik	Sandstedt	Not Found							
Jeremy Schwartz	Jeremy	Schwartz	0000-0002-5253-4608	0.0	0.0	0.0	0.0	0.0	0.0	
Jeremy Schwartz	Jeremy	Schwartz	0000-0002-3653-2557	0.0	1.0	1.0	0.0	0.0	0.0	
Jeremy Schwartz	Jeremy	Schwartz	0000-0003-4806-193X	0.0	1.0	0.0	1.0	2.0	0.0	
Jeremy Schwartz	Jeremy	Schwartz	0000-0003-0139-2600	0.0	1.0	2.0	36.0	6.0	0.0	
Jeremy Schwartz	Jeremy	Speed-Schwartz	0009-0004-3839-2860	0.0	1.0	0.0	0.0	0.0	0.0	
Stacey L. Smith	Stacey	Smith	0000-0001-7013-8679	1.0	0.0	1.0	0.0	0.0	0.0	
