"Author, Primary",Pub Year,Source
Gregory Battersby,1992,1
Jeffrey Becker,1992,1
Tegan Paige Churcher,1992,1
Raj Denhoy,1992,1
Gretchen Elmquist,1992,1
Leslie Engel,1992,1
Lorien A. Ferris,1992,1
Michael A. Gilchrist,1992,1
Jennifer R. Graff,1992,1
Marc Kramer,1992,1
Sharon London,1992,1
Louis Santiago,1992,1
Sam Shiley,1992,1
Jeffrey S. Shima,1992,1
Laurie Tucker,1992,1
Lisa M. Angeloni,1993,2
Larry Bernstone,1993,2
Kathryn Bickel,1993,2
Katherine Colburn,1993,2
James Michael Daniels,1993,2
Kristin Gade,1993,2
Ute Gigler,1993,2
Jeffrey Goldman,1993,2
Russell Iwanchuck,1993,2
Jason Rice,1993,2
Bryn Sakagawa,1993,2
J. Erik Sandstedt,1993,2
Jeremy Schwartz,1993,2
Stacey L. Smith,1993,2
Christina Underwood,1993,2
Erin Boyd,1994,3
Martha O. Burford,1994,3
Tosha Comendant,1994,3
Carolyn Cruz,1994,3
Lia M. Gaertner,1994,3
Stephen J. Gehlbach,1994,3
Elise M. Grenier,1994,3
Daniel R. Hahn,1994,3
Rebecca Johnson,1994,3
Sarah Kalish,1994,3
Cheyenne Laczek-Johnson,1994,3
Regina Linville,1994,3
Ina Park,1994,3
J. A. Pearson,1994,3
Sarah Jane Rollin,1994,3
Julie L. Smith,1994,3
George R. Wettach,1994,3
Abinash P. Achrekar,1995,4
Nicola J. Acutt,1995,4
Lena Brook,1995,4
Eric A. Collisson,1995,4
Lindsay Dinn,1995,4
Peter A. Elston,1995,4
Ken Greenberg,1995,4
Ryan M. Houston,1995,4
Andy Johnson,1995,4
Betty Y. Lin,1995,4
Tina Liu,1995,4
Camille Nowell,1995,4
Michael Schafler,1995,4
Maya Skubatch,1995,4
Nathan Vaziri,1995,4
Kendra G. Bergstrom,1996,5
Joanna L. Canepa,1996,5
Ylva Carosone,1996,5
Jennifer Rose Conners,1996,5
Solomon Dobrowski,1996,5
Michael Alan Emmett,1996,5
Chris Feldman,1996,5
Daniel D. Filiatrault,1996,5
Sapna B. Khandwala,1996,5
Julianne Ludwig,1996,5
Xavier Mayali,1996,5
Larry Rabin,1996,5
Sandra Trujillo,1996,5
Isa Woo,1996,5
Stephanie Yelenik,1996,5
Sarah Ann Bickel,1997,6
Patrick A. Bock,1997,6
David Borslien,1997,6
Kelly Sherman Boyle,1997,6
Heather S. Cooley,1997,6
Erica A. Garcia,1997,6
Lauren Gershman,1997,6
Emily Hatley,1997,6
Jonathan S.F. Lee,1997,6
Jung Lee,1997,6
Devon Muto,1997,6
Ryan Petterson,1997,6
Celina E. Salazar,1997,6
Rachel Shapland,1997,6
Jessica Sisco,1997,6
Helene Tolliver,1997,6
Audrey Jean Bowers,1998,7
Yoko Elena Chavez,1998,7
Kevin Cooney,1998,7
Laura L. Cossey,1998,7
Eric D. Crandall,1998,7
Dan Norton Firestone,1998,7
J. G. Gelay,1998,7
Sarah A. Graber,1998,7
Julio Anacleto Gutierrez,1998,7
Sikina Jinnah,1998,7
Melanie McCutchan,1998,7
Shannon K. Murphy,1998,7
Caterina Nerney,1998,7
Kasha A. Parker,1998,7
Virginia Rich,1998,7
Rowan Alexi Roderick-Jones,1998,7
William H. Satterthwaite,1998,7
Kathleen F. Sims,1998,7
Joseph Talavera II,1998,7
Peter G. Vallejo,1998,7
Heather E. Wright,1998,7
Miles Zajaczkowski,1998,7
Christian Baker,1999,8
Richard Brusch,1999,8
David L. Des Marais,1999,8
Analise Elliot,1999,8
Erin A. Gontang,1999,8
Andrew Gwin,1999,8
Ryan Johnson,1999,8
Tobias B. Koehler,1999,8
Andres Matias Lebensohn,1999,8
Zita Maliga,1999,8
Lauren McGoldrick,1999,8
Andrew G. Murdock,1999,8
DanTram Nguyen,1999,8
Paula Roy-Burman,1999,8
Jillian Silva,1999,8
Amy M. Tang,1999,8
Kristopher M. G. Wagner-Porter,1999,8
Allison Wickland,1999,8
Jennifer L. Williams,1999,8
